Book_Name,Description,Author,Rating,No_of_Ratings,Regular_Price,Language,Book_Audio_Length,Cover_IMG,Book_URL
The Lean Startup,How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,4.5 out of 5 stars,328 ratings,"₹1,005.00","['Language:', 'English']",Length: 8 hrs and 38 mins,https://m.media-amazon.com/images/I/51PAIR77wJL._SL500_.jpg,https://www.audible.in/pd/The-Lean-Startup-Audiobook/B079TJMHP9
Product-Led Growth,How to Build a Product That Sells Itself,Wes Bush,4.5 out of 5 stars,8 ratings,₹501.00,"['Language:', 'English']",Length: 4 hrs and 23 mins,https://m.media-amazon.com/images/I/41iAOa04wDL._SL500_.jpg,https://www.audible.in/pd/Product-Led-Growth-Audiobook/B07ZDNDZ73
Elon Musk,,Ashlee Vance,4.5 out of 5 stars,"2,177 ratings",₹820.00,"['Language:', 'English']",Length: 13 hrs and 23 mins,https://m.media-amazon.com/images/I/51e-uVPtr5L._SL500_.jpg,https://www.audible.in/pd/Elon-Musk-Audiobook/B079WV7RD1
The Ambuja Story,How a Group of Ordinary Men Created an Extraordinary Company,Narotam Sekhsaria,5 out of 5 stars,1 rating,"₹1,575.00","['Language:', 'English']",Length: 13 hrs and 59 mins,https://m.media-amazon.com/images/I/51QdGH318hL._SL500_.jpg,https://www.audible.in/pd/The-Ambuja-Story-Audiobook/B09V3KVQNK
How to Talk to Anyone,92 Little Tricks for Big Success in Relationships,Leil Lowndes,4.5 out of 5 stars,507 ratings,₹844.00,"['Language:', 'English']",Length: 8 hrs and 59 mins,https://m.media-amazon.com/images/I/51hAGh15bTL._SL500_.jpg,https://www.audible.in/pd/How-to-Talk-to-Anyone-Audiobook/B079TLJV49
Staff Engineer,Leadership Beyond the Management Track,Will Larson,,Not rated yet,₹668.00,"['Language:', 'English']",Length: 8 hrs and 52 mins,https://m.media-amazon.com/images/I/51CSgaeqvUS._SL500_.jpg,https://www.audible.in/pd/Staff-Engineer-Audiobook/B097CP7PSC
Secrets of the Millionaire Mind,Mastering the Inner Game of Wealth,T. Harv Eker,4.5 out of 5 stars,944 ratings,"₹1,181.00","['Language:', 'English']",Length: 5 hrs and 10 mins,https://m.media-amazon.com/images/I/51m+8bXcVcL._SL500_.jpg,https://www.audible.in/pd/Secrets-of-the-Millionaire-Mind-Audiobook/B079FPPM7J
The 1-Page Marketing Plan,"Get New Customers, Make More Money, And Stand Out From The Crowd",Allan Dib,5 out of 5 stars,138 ratings,₹668.00,"['Language:', 'English']",Length: 6 hrs and 32 mins,https://m.media-amazon.com/images/I/510qt-9EdrL._SL500_.jpg,https://www.audible.in/pd/The-1-Page-Marketing-Plan-Audiobook/B0771VHDL7
Titan,"The Life of John D. Rockefeller, Sr.",Ron Chernow,4.5 out of 5 stars,35 ratings,"₹1,338.00","['Language:', 'English']",Length: 35 hrs and 3 mins,https://m.media-amazon.com/images/I/518u3PrQSAS._SL500_.jpg,https://www.audible.in/pd/Titan-Audiobook/B01MRZSUIO
I Too Had a Dream,,Kurien,4.5 out of 5 stars,6 ratings,₹586.00,"['Language:', 'English']",Length: 9 hrs and 58 mins,https://m.media-amazon.com/images/I/51oDMH3+FcL._SL500_.jpg,https://www.audible.in/pd/I-Too-Had-a-Dream-Audiobook/B09N5DVZMQ
Ego Is the Enemy,,Ryan Holiday,4.5 out of 5 stars,99 ratings,₹586.00,"['Language:', 'English']",Length: 6 hrs and 56 mins,https://m.media-amazon.com/images/I/41Q8lxKA2OL._SL500_.jpg,https://www.audible.in/pd/Ego-Is-the-Enemy-Audiobook/B079B976BB
Eat That Frog!,21 Great Ways to Stop Procrastinating and Get More Done in Less,Brian Tracy,4.5 out of 5 stars,256 ratings,₹233.00,"['Language:', 'English']",Length: 2 hrs and 37 mins,https://m.media-amazon.com/images/I/51LCpTzITaL._SL500_.jpg,https://www.audible.in/pd/Eat-That-Frog-Audiobook/B08NMZWW5G
The Amazon Way: Amazon's 14 Leadership Principles,,John Rossman,4.5 out of 5 stars,3 ratings,₹680.00,"['Language:', 'English']",Length: 4 hrs and 40 mins,https://m.media-amazon.com/images/I/51a4YCXlPbL._SL500_.jpg,https://www.audible.in/pd/The-Amazon-Way-Amazons-14-Leadership-Principles-Audiobook/1713625776
Nudge: The Final Edition,"Improving Decisions About Money, Health, and the Environment",Richard H. Thaler,4.5 out of 5 stars,18 ratings,₹703.00,"['Language:', 'English']",Length: 11 hrs and 33 mins,https://m.media-amazon.com/images/I/5120dFz6tbS._SL500_.jpg,https://www.audible.in/pd/Nudge-The-Final-Edition-Audiobook/1663714924
33 Strategies of War,,Robert Greene,4.5 out of 5 stars,37 ratings,₹820.00,"['Language:', 'English']",Length: 27 hrs and 30 mins,https://m.media-amazon.com/images/I/41SDAvNO7wL._SL500_.jpg,https://www.audible.in/pd/33-Strategies-of-War-Audiobook/B01MQYCOUY
"Blue Ocean Strategy, Expanded Edition",How to Create Uncontested Market Space and Make the Competition Irrelevant,W. Chan Kim,4.5 out of 5 stars,30 ratings,₹586.00,"['Language:', 'English']",Length: 8 hrs and 43 mins,https://m.media-amazon.com/images/I/610tS1EpU0L._SL500_.jpg,https://www.audible.in/pd/Blue-Ocean-Strategy-Expanded-Edition-Audiobook/1469080966
The Art of War,,Sun Tzu,4 out of 5 stars,527 ratings,₹333.00,"['Language:', 'English']",Length: 1 hr and 7 mins,https://m.media-amazon.com/images/I/51EE3GAdmfL._SL500_.jpg,https://www.audible.in/pd/The-Art-of-War-Audiobook/B01N5HP6HL
Founder Brand,Turn Your Story into Your Competitive Advantage,Dave Gerhardt,5 out of 5 stars,1 rating,₹469.00,"['Language:', 'English']",Length: 3 hrs and 27 mins,https://m.media-amazon.com/images/I/41sFnfWJ8oL._SL500_.jpg,https://www.audible.in/pd/Founder-Brand-Audiobook/B09XJ74X7X
Rich as F--k,More Money than You Know What to Do With,Amanda Frances,5 out of 5 stars,2 ratings,₹668.00,"['Language:', 'English']",Length: 6 hrs and 45 mins,https://m.media-amazon.com/images/I/51hinYn5AvL._SL500_.jpg,https://www.audible.in/pd/Rich-as-F-k-Audiobook/B09MTKTXZF
Tools of Titans,"The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Tim Ferriss,4.5 out of 5 stars,302 ratings,"₹1,506.00","['Language:', 'English']",Length: 22 hrs and 41 mins,https://m.media-amazon.com/images/I/51xVXCYXeGL._SL500_.jpg,https://www.audible.in/pd/Tools-of-Titans-Audiobook/B082VKRLRL
Working with Emotional Intelligence,,Daniel Goleman,4.5 out of 5 stars,7 ratings,₹181.00,"['Language:', 'English']",Length: 13 hrs and 3 mins,https://m.media-amazon.com/images/I/41n0yeDpFSL._SL500_.jpg,https://www.audible.in/pd/Working-with-Emotional-Intelligence-Audiobook/B079VFLY3Y
Crucial Conversations,Tools for Talking When Stakes Are High,Kerry Patterson,4.5 out of 5 stars,6 ratings,₹469.00,"['Language:', 'English']",Length: 4 hrs and 17 mins,https://m.media-amazon.com/images/I/51eL14jsLmL._SL500_.jpg,https://www.audible.in/pd/Crucial-Conversations-Audiobook/B09BK1JW3Q
Leadership and Self-Deception: Getting Out of the Box,,The Arbinger Institute,4.5 out of 5 stars,16 ratings,₹668.00,"['Language:', 'English']",Length: 6 hrs and 1 min,https://m.media-amazon.com/images/I/51ArvH5ypZL._SL500_.jpg,https://www.audible.in/pd/Leadership-and-Self-Deception-Getting-Out-of-the-Box-Audiobook/B07H3BTW4M
Extraordinary Leadership,,Robin Sharma,4.5 out of 5 stars,"5,257 ratings",₹0.00,"['Language:', 'English']",Length: 1 hr and 6 mins,https://m.media-amazon.com/images/I/51qCifqMx+L._SL500_.jpg,https://www.audible.in/pd/Extraordinary-Leadership-Audiobook/B06XSJFGTZ
"Multipliers, Revised and Updated",How the Best Leaders Make Everyone Smarter,Liz Wiseman,4.5 out of 5 stars,13 ratings,"₹1,519.00","['Language:', 'English']",Length: 11 hrs and 24 mins,https://m.media-amazon.com/images/I/51UXgPlwS4L._SL500_.jpg,https://www.audible.in/pd/Multipliers-Revised-and-Updated-Audiobook/B071VCKP17
Zero to One,,Peter Thiel,4.5 out of 5 stars,"1,832 ratings",₹615.00,"['Language:', 'English']",Length: 4 hrs and 50 mins,https://m.media-amazon.com/images/I/41ltkuJcb1L._SL500_.jpg,https://www.audible.in/pd/Zero-to-One-Audiobook/B079ZXSR8H
The Basics of Bitcoins and Blockchains,An Introduction to Cryptocurrencies and the Technology That Powers Them,Antony Lewis,4.5 out of 5 stars,71 ratings,"₹1,172.00","['Language:', 'English']",Length: 9 hrs and 23 mins,https://m.media-amazon.com/images/I/61f1YVHL+lL._SL500_.jpg,https://www.audible.in/pd/The-Basics-of-Bitcoins-and-Blockchains-Audiobook/1774243083
The Power of Habit,"Why We Do What We Do, and How to Change",Charles Duhigg,4.5 out of 5 stars,"1,876 ratings",₹820.00,"['Language:', 'English']",Length: 10 hrs and 53 mins,https://m.media-amazon.com/images/I/51PYOgYkGyL._SL500_.jpg,https://www.audible.in/pd/The-Power-of-Habit-Audiobook/B079WTVXTK
The Future of Money,How the Digital Revolution Is Transforming Currencies and Finance,Eswar S. Prasad,4.5 out of 5 stars,2 ratings,₹820.00,"['Language:', 'English']",Length: 19 hrs and 46 mins,https://m.media-amazon.com/images/I/51qMzNv3kOL._SL500_.jpg,https://www.audible.in/pd/The-Future-of-Money-Audiobook/B09JTSTWK1
The Power of Regret,How Looking Backward Moves Us Forward,Daniel H. Pink,4.5 out of 5 stars,3 ratings,₹797.00,"['Language:', 'English']",Length: 5 hrs and 29 mins,https://m.media-amazon.com/images/I/41eDIah0qpL._SL500_.jpg,https://www.audible.in/pd/The-Power-of-Regret-Audiobook/B09N9VQT92
"Thinking, Fast and Slow",,Daniel Kahneman,4.5 out of 5 stars,693 ratings,₹957.00,"['Language:', 'English']",Length: 20 hrs and 1 min,https://m.media-amazon.com/images/I/419m9DhkQ2L._SL500_.jpg,https://www.audible.in/pd/Thinking-Fast-and-Slow-Audiobook/B079X4PKQC
HBR's 10 Must Reads: The Essentials,,Peter Ferdinand Drucker,4.5 out of 5 stars,9 ratings,₹668.00,"['Language:', 'English']",Length: 9 hrs and 48 mins,https://m.media-amazon.com/images/I/41sLE8xjoXL._SL500_.jpg,https://www.audible.in/pd/HBRs-10-Must-Reads-The-Essentials-Audiobook/B079CFMGSF
To Sell Is Human,"The Surprising Truth about Persuading, Convincing and Influencing Others",Daniel H. Pink,4.5 out of 5 stars,44 ratings,₹797.00,"['Language:', 'English']",Length: 6 hrs and 6 mins,https://m.media-amazon.com/images/I/51cWLXgdNFL._SL500_.jpg,https://www.audible.in/pd/To-Sell-Is-Human-Audiobook/B07B8Q96HK
The Fifth Discipline,The Art and Practice of the Learning Organization,Peter M. Senge,4.5 out of 5 stars,57 ratings,₹753.00,"['Language:', 'English']",Length: 4 hrs and 18 mins,https://m.media-amazon.com/images/I/51UnfINK1YL._SL500_.jpg,https://www.audible.in/pd/The-Fifth-Discipline-Audiobook/B079TJMFQM
"The Great Mental Models, Volume 2","Physics, Chemistry, and Biology",Farnam Street,4.5 out of 5 stars,24 ratings,₹668.00,"['Language:', 'English']",Length: 9 hrs and 3 mins,https://m.media-amazon.com/images/I/41nZPK+swXL._SL500_.jpg,https://www.audible.in/pd/The-Great-Mental-Models-Volume-2-Audiobook/B0872K5F3T
Bottle of Lies,The Inside Story of the Generic Drug Boom,Katherine Eban,5 out of 5 stars,45 ratings,"₹1,688.00","['Language:', 'English']",Length: 14 hrs and 26 mins,https://m.media-amazon.com/images/I/41iEt0pNl9L._SL500_.jpg,https://www.audible.in/pd/Bottle-of-Lies-Audiobook/B07NQXQ52C
The NFT Handbook,"How to Create, Sell and Buy Non-Fungible Tokens",Matt Fortnow,4.5 out of 5 stars,3 ratings,₹586.00,"['Language:', 'English']",Length: 7 hrs and 2 mins,https://m.media-amazon.com/images/I/51RsP+YT4zL._SL500_.jpg,https://www.audible.in/pd/The-NFT-Handbook-Audiobook/B09LFYH6WJ
The Voltage Effect,,John A List,4.5 out of 5 stars,3 ratings,₹888.00,"['Language:', 'English']",Length: 8 hrs and 26 mins,https://m.media-amazon.com/images/I/41eq1WLXT9L._SL500_.jpg,https://www.audible.in/pd/The-Voltage-Effect-Audiobook/B09N3ZKBHT
The E-Myth Revisited,Why Most Small Businesses Don't Work and What to Do About It,Michael E. Gerber,5 out of 5 stars,103 ratings,"₹1,350.00","['Language:', 'English']",Length: 8 hrs and 5 mins,https://m.media-amazon.com/images/I/51NmCG8jrzL._SL500_.jpg,https://www.audible.in/pd/The-E-Myth-Revisited-Audiobook/B079TKJPT8
How to Trade in Stocks,,Jesse Livermore,4.5 out of 5 stars,42 ratings,₹187.00,"['Language:', 'English']",Length: 1 hr and 43 mins,https://m.media-amazon.com/images/I/51g8I8IJdBL._SL500_.jpg,https://www.audible.in/pd/How-to-Trade-in-Stocks-Audiobook/1982750006
Chanakya and the Art of Getting Rich,,Radhakrishnan Pillai,4.5 out of 5 stars,30 ratings,₹502.00,"['Language:', 'English']",Length: 4 hrs and 41 mins,https://m.media-amazon.com/images/I/51HSSr4sNTL._SL500_.jpg,https://www.audible.in/pd/Chanakya-and-the-Art-of-Getting-Rich-Audiobook/0143498711
What Got You Here Won't Get You There,How Successful People Become Even More Successful,Marshall Goldsmith,4.5 out of 5 stars,119 ratings,₹668.00,"['Language:', 'English']",Length: 7 hrs and 56 mins,https://m.media-amazon.com/images/I/51jH66-B9UL._SL500_.jpg,https://www.audible.in/pd/What-Got-You-Here-Wont-Get-You-There-Audiobook/B07QY81XM1
All Marketers Are Liars,The Power of Telling Authentic Stories in a Low-Trust World,Seth Godin,4.5 out of 5 stars,41 ratings,₹668.00,"['Language:', 'English']",Length: 4 hrs and 17 mins,https://m.media-amazon.com/images/I/418GjpdLW1L._SL500_.jpg,https://www.audible.in/pd/All-Marketers-Are-Liars-Audiobook/B07CNG32N4
The Art of Startup Fundraising,"Pitching Investors, Negotiating the Deal, and Everything Else Entrepreneurs Need to Know",Alejandro Cremades,4.5 out of 5 stars,29 ratings,₹668.00,"['Language:', 'English']",Length: 6 hrs and 24 mins,https://m.media-amazon.com/images/I/51n2v8CXcpL._SL500_.jpg,https://www.audible.in/pd/The-Art-of-Startup-Fundraising-Audiobook/B079CD5TCQ
Beyond Entrepreneurship 2.0,,Jim Collins,5 out of 5 stars,3 ratings,₹888.00,"['Language:', 'English']",Length: 13 hrs and 53 mins,https://m.media-amazon.com/images/I/41XXhNf6uOL._SL500_.jpg,https://www.audible.in/pd/Beyond-Entrepreneurship-20-Audiobook/1473590191
"Change Your Paradigm, Change Your Life",,Bob Proctor,5 out of 5 stars,5 ratings,₹469.00,"['Language:', 'English']",Length: 5 hrs and 20 mins,https://m.media-amazon.com/images/I/41454108AgL._SL500_.jpg,https://www.audible.in/pd/Change-Your-Paradigm-Change-Your-Life-Audiobook/B09G4VGVS1
The Quick and Easy Way to Effective Speaking,,Dale Carnegie,4.5 out of 5 stars,28 ratings,₹122.00,"['Language:', 'English']",Length: 6 hrs and 39 mins,https://m.media-amazon.com/images/I/51LRFC1UDjL._SL500_.jpg,https://www.audible.in/pd/The-Quick-and-Easy-Way-to-Effective-Speaking-Audiobook/B07DQS69SM
Good to Great,Why Some Companies Make the Leap...And Others Don't,Jim Collins,4.5 out of 5 stars,161 ratings,"₹1,800.00","['Language:', 'English']",Length: 10 hrs and 1 min,https://m.media-amazon.com/images/I/41tCQsn8UGL._SL500_.jpg,https://www.audible.in/pd/Good-to-Great-Audiobook/B079TJV2PX
"Change by Design, Revised and Updated",How Design Thinking Transforms Organizations and Inspires Innovation,Tim Brown,4.5 out of 5 stars,12 ratings,"₹1,350.00","['Language:', 'English']",Length: 7 hrs and 37 mins,https://m.media-amazon.com/images/I/51b6XoiZ1QL._SL500_.jpg,https://www.audible.in/pd/Change-by-Design-Revised-and-Updated-Audiobook/0062940945
HBR’s 10 Must Reads on Emotional Intelligence,,Harvard Business Review,4.5 out of 5 stars,51 ratings,₹668.00,"['Language:', 'English']",Length: 5 hrs and 29 mins,https://m.media-amazon.com/images/I/51DqTKnCppL._SL500_.jpg,https://www.audible.in/pd/HBRs-10-Must-Reads-on-Emotional-Intelligence-Audiobook/B079B8G2XD
Obviously Awesome,"How to Nail Product Positioning so Customers Get It, Buy It, Love It",April Dunford,4.5 out of 5 stars,22 ratings,₹501.00,"['Language:', 'English']",Length: 3 hrs and 31 mins,https://m.media-amazon.com/images/I/51l8BeXXOtL._SL500_.jpg,https://www.audible.in/pd/Obviously-Awesome-Audiobook/B085LB5LGG
Public Speaking for Success,,Dale Carnegie,5 out of 5 stars,9 ratings,₹703.00,"['Language:', 'English']",Length: 15 hrs and 28 mins,https://m.media-amazon.com/images/I/61zfCkY9TwL._SL500_.jpg,https://www.audible.in/pd/Public-Speaking-for-Success-Audiobook/B079DG5QWQ
The Making of a Manager,What to Do When Everyone Looks to You,Julie Zhuo,4.5 out of 5 stars,77 ratings,₹683.00,"['Language:', 'English']",Length: 7 hrs and 32 mins,https://m.media-amazon.com/images/I/41v0HO2on1L._SL500_.jpg,https://www.audible.in/pd/The-Making-of-a-Manager-Audiobook/1473568978
The Five Dysfunctions of a Team,A Leadership Fable,Patrick Lencioni,4.5 out of 5 stars,200 ratings,₹754.00,"['Language:', 'English']",Length: 3 hrs and 42 mins,https://m.media-amazon.com/images/I/41V9HNQcdzL._SL500_.jpg,https://www.audible.in/pd/The-Five-Dysfunctions-of-a-Team-Audiobook/B079TMNBJ3
The Happiness Advantage,,Shawn Achor,5 out of 5 stars,44 ratings,₹797.00,"['Language:', 'English']",Length: 7 hrs and 20 mins,https://m.media-amazon.com/images/I/51i2bKVmx-L._SL500_.jpg,https://www.audible.in/pd/The-Happiness-Advantage-Audiobook/B079TM3GRS
Data Science for Business,What You Need to Know About Data Mining and Data-Analytic Thinking,Foster Provost,4.5 out of 5 stars,5 ratings,"₹1,675.00","['Language:', 'English']",Length: 12 hrs and 46 mins,https://m.media-amazon.com/images/I/518qCPUCDGL._SL500_.jpg,https://www.audible.in/pd/Data-Science-for-Business-Audiobook/B08VKM68LJ
Good Strategy/Bad Strategy,The Difference and Why It Matters,Richard Rumelt,4.5 out of 5 stars,61 ratings,"₹1,131.00","['Language:', 'English']",Length: 11 hrs and 49 mins,https://m.media-amazon.com/images/I/41ppIZRaR8L._SL500_.jpg,https://www.audible.in/pd/Good-Strategy-Bad-Strategy-Audiobook/B07R6XNN3G
Skin in the Game,Hidden Asymmetries in Daily Life,Nassim Nicholas Taleb,4.5 out of 5 stars,223 ratings,"₹1,005.00","['Language:', 'English']",Length: 8 hrs and 20 mins,https://m.media-amazon.com/images/I/41eC68wVhUL._SL500_.jpg,https://www.audible.in/pd/Skin-in-the-Game-Audiobook/B079F2CR1K
Imaginable,How to See the Future Coming and Be Ready for Anything,Jane McGonigal,4 out of 5 stars,1 rating,"₹1,093.00","['Language:', 'English']",Length: 16 hrs and 30 mins,https://m.media-amazon.com/images/I/41aB6TLUR9L._SL500_.jpg,https://www.audible.in/pd/Imaginable-Audiobook/B09NRT7CTF
Managing Humans,Biting and Humorous Tales of a Software Engineering Manager,Michael Lopp,4.5 out of 5 stars,10 ratings,₹836.00,"['Language:', 'English']",Length: 5 hrs and 39 mins,https://m.media-amazon.com/images/I/51SocI-mltL._SL500_.jpg,https://www.audible.in/pd/Managing-Humans-Audiobook/B08964Z5J2
AWS Certified Solutions Architect Audio Crash Course,,AudioLearn Content Team,5 out of 5 stars,3 ratings,₹668.00,"['Language:', 'English']",Length: 8 hrs and 23 mins,https://m.media-amazon.com/images/I/51mDFK5oxBL._SL500_.jpg,https://www.audible.in/pd/AWS-Certified-Solutions-Architect-Audio-Crash-Course-Audiobook/B08CS14KDY
Leadership Wisdom from the Monk Who Sold His Ferrari,The 8 Rituals of Visionary Leaders,Robin Sharma,5 out of 5 stars,54 ratings,₹586.00,"['Language:', 'English']",Length: 7 hrs and 31 mins,https://m.media-amazon.com/images/I/51vM7xqxyWL._SL500_.jpg,https://www.audible.in/pd/Leadership-Wisdom-from-the-Monk-Who-Sold-His-Ferrari-Audiobook/B07GDQGK75
Articulating Design Decisions,"Communicate with Stakeholders, Keep Your Sanity, and Deliver the Best User Experience",Tom Greever,5 out of 5 stars,3 ratings,"₹1,172.00","['Language:', 'English']",Length: 6 hrs and 56 mins,https://m.media-amazon.com/images/I/51BIa1PQtGS._SL500_.jpg,https://www.audible.in/pd/Articulating-Design-Decisions-Audiobook/B092RCFY1W
HBR's 10 Must Reads on Strategy,,Harvard Business Review,4.5 out of 5 stars,24 ratings,₹668.00,"['Language:', 'English']",Length: 9 hrs and 17 mins,https://m.media-amazon.com/images/I/51I-6hQJr+L._SL500_.jpg,https://www.audible.in/pd/HBRs-10-Must-Reads-on-Strategy-Audiobook/B079BD1FQW
Who Moved My Cheese?,,Dr Spencer Johnson,4.5 out of 5 stars,398 ratings,₹615.00,"['Language:', 'English']",Length: 1 hr and 39 mins,https://m.media-amazon.com/images/I/51BjsDXTuUL._SL500_.jpg,https://www.audible.in/pd/Who-Moved-My-Cheese-Audiobook/B07L41LDKT
